author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,street,house_number,underground,residential_complex
Место,real_estate_agent,Долгопрудный,sale,flat,6,23,1,34.0,7300000,2021,-1,-1,-1,-1,18 м²,11 м²,Парковая ,48,Долгопрудная,Бригантина
ID 93991942,unknown,Долгопрудный,sale,flat,5,18,1,46.1,8800000,2015,-1,-1,-1,-1,"19,6 м²","12,3 м²",Набережная ,21к1,Водники,Московские водники
Адресат,real_estate_agent,Долгопрудный,sale,flat,17,23,1,34.1,8350000,-1,-1,-1,-1,-1,14 м²,10 м²,Парковая ,48,Долгопрудная,Бригантина
ID 122175496,realtor,Долгопрудный,sale,flat,4,5,1,30.5,7256652,1962,-1,-1,-1,-1,"15,5 м²","5,5 м²", Циолковского,14,Долгопрудная,
Владислав Павлов,realtor,Долгопрудный,sale,flat,7,17,1,42.3,8999999,2014,-1,-1,-1,-1,20 м²,10 м²,проспект Ракетостроителей,5,Долгопрудная,
ID 18087292,homeowner,Долгопрудный,sale,flat,12,16,1,34.5,7300000,1984,-1,-1,-1,-1,19 м²,"9,7 м²",проспект Пацаева,9,Водники,
Александр Филатов,realtor,Долгопрудный,sale,flat,2,9,1,32.7,7500000,1975,-1,-1,-1,-1,19 м²,6 м²,Дирижабельная ,13,Долгопрудная,
ID 527378,homeowner,Долгопрудный,sale,flat,9,17,1,43.2,9250000,2009,-1,-1,-1,-1,"21,4 м²",9 м²,Лихачевский проспект,70к2,Долгопрудная,
Елена Маршева,realtor,Долгопрудный,sale,flat,19,19,1,44.96,8000000,2013,-1,-1,-1,-1,20 м²,13 м²,Новое шоссе,10к1,Хлебниково,
Жилцентр,real_estate_agent,Долгопрудный,sale,flat,1,12,1,39.8,7000000,-1,-1,-1,-1,-1,17 м²,8 м²,Центральная ,7,Долгопрудная,
Наталья Раздина,realtor,Долгопрудный,sale,flat,2,17,1,41.0,9500000,2008,-1,-1,-1,-1,23 м²,"10,5 м²",Новый бульвар,23,Долгопрудная,
